timestamp,with_corona,without_corona,reduction
2020-01-05,31543.991592888302,32868.472566238735,1324.4809733504335
2020-01-12,33632.20478127118,34318.816413083885,686.6116318127024
2020-01-19,34188.76338380337,33358.3441693264,-830.4192144769695
2020-01-26,36622.62681308242,34691.40899615066,-1931.2178169317558
2020-02-02,33098.88672812489,38989.95976615379,5891.073038028902
2020-02-09,33416.304003778714,39396.41190521997,5980.1079014412535
2020-02-16,33347.96332864799,34620.10806749323,1272.1447388452434
2020-02-23,32244.17505396228,32365.338523293613,121.16346933133173
2020-03-01,33467.388046876156,32003.974448462293,-1463.413598413863
2020-03-08,33952.77666140847,31754.09323192027,-2198.683429488199
2020-03-15,31223.803665987336,31183.747326814788,-40.05633917254818
2020-03-22,31010.566564976703,29261.732348544992,-1748.834216431711
2020-03-29,27199.399538171707,28400.089300712625,1200.6897625409183
2020-04-05,26911.443012407788,27893.805571660443,982.362559252655
2020-04-12,23694.112386707515,28916.54442119383,5222.432034486315
2020-04-19,23599.86118935876,29491.58448695905,5891.723297600292
2020-04-26,23098.56984748541,29479.84092799385,6381.271080508439
2020-05-03,25136.447559598393,28648.22144931877,3511.773889720378
2020-05-10,22718.73276416604,27346.339650759248,4627.606886593207
2020-05-17,23555.499620271534,27540.563393906727,3985.063773635193
2020-05-24,22543.220720407622,25688.818876825844,3145.598156418222
2020-05-31,21561.985147742205,25866.108527751163,4304.123380008958
2020-06-07,23338.383610664176,26498.042714564577,3159.6591039004015
2020-06-14,24412.211678250922,26306.10604050709,1893.8943622561674
2020-06-21,24684.281987790415,26491.725566250498,1807.4435784600828
